epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.895,3.22746,3.93635,1.58092,0.49251,0.31627,0.30428,0.09505,2.39806,2.79518,1.14025,0.00056,0.00056,0.00056
2,39.3644,2.1997,1.36199,1.04628,0.16238,0.38191,0.09406,0.0339,2.2166,22.0947,1.21683,0.00113988,0.00113988,0.00113988
3,57.6004,2.19238,1.32894,1.04124,0.10487,0.32717,0.05533,0.0192,2.39634,inf,2.7574,0.00171925,0.00171925,0.00171925
4,83.5957,2.1604,1.31158,1.03441,0.04108,0.25469,0.02452,0.00968,2.4864,30.9755,1.15219,0.00199805,0.00199805,0.00199805
5,96.2058,2.15407,1.23633,1.01304,0.59197,0.36341,0.39603,0.16408,2.05988,1.42819,1.06046,0.00199653,0.00199653,0.00199653
6,132.255,2.08161,1.19723,0.9981,0.64408,0.43704,0.46889,0.18494,2.03827,1.23445,1.05737,0.00199458,0.00199458,0.00199458
7,145.938,1.95489,1.08998,0.99357,0.66548,0.4701,0.51098,0.21916,1.93678,1.08404,1.02475,0.00199219,0.00199219,0.00199219
8,155.061,1.90057,1.06653,0.98037,0.72576,0.45337,0.51207,0.21984,1.90934,1.08494,1.0292,0.00198938,0.00198938,0.00198938
9,169.823,1.8745,1.02508,0.96576,0.67952,0.43462,0.47672,0.20626,1.94722,1.11897,1.03042,0.00198614,0.00198614,0.00198614
10,209.407,1.9808,1.11083,0.97039,0.69187,0.46224,0.50828,0.20463,1.95612,1.0679,1.02172,0.00198246,0.00198246,0.00198246
11,221.05,1.92819,1.06019,0.98183,0.74397,0.45514,0.52282,0.22186,1.9559,1.04803,1.03029,0.00197837,0.00197837,0.00197837
12,235.027,1.87548,1.03576,0.96255,0.74397,0.46148,0.52359,0.20997,1.92398,1.06676,1.00669,0.00197384,0.00197384,0.00197384
13,243.7,1.84275,1.00467,0.96145,0.7244,0.47493,0.5335,0.23295,1.8762,1.01672,1.00439,0.0019689,0.0019689,0.0019689
14,256.211,1.83038,0.97656,0.95562,0.76902,0.47841,0.54911,0.24227,1.86105,0.98158,0.99846,0.00196353,0.00196353,0.00196353
15,265.31,1.87168,0.99837,0.96456,0.71706,0.48632,0.54912,0.23587,1.89919,1.00053,1.00904,0.00195775,0.00195775,0.00195775
16,274.074,1.81034,0.96394,0.95452,0.71946,0.49924,0.55633,0.25531,1.79884,0.98387,0.99016,0.00195155,0.00195155,0.00195155
17,282.953,1.85605,0.98855,0.94985,0.74251,0.47575,0.54499,0.22936,1.87404,0.99151,0.99269,0.00194493,0.00194493,0.00194493
18,373.284,1.86577,0.98112,0.94485,0.74196,0.4891,0.55102,0.24647,1.86317,0.95723,1.00976,0.00193791,0.00193791,0.00193791
19,382.755,1.83574,0.9775,0.94407,0.74985,0.49376,0.55258,0.24162,1.86609,0.95648,1.00098,0.00193048,0.00193048,0.00193048
20,426.54,1.78816,0.9546,0.94315,0.76385,0.49184,0.56795,0.25781,1.82414,0.95112,0.98934,0.00192264,0.00192264,0.00192264
21,439.994,1.80106,0.97346,0.94878,0.75973,0.49841,0.5627,0.25207,1.85773,0.9835,1.00289,0.00191441,0.00191441,0.00191441
