epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.6605,3.22746,3.93635,1.58092,0.49251,0.31627,0.30428,0.09505,2.39806,2.79518,1.14025,0.00056,0.00056,0.00056
2,38.861,2.1997,1.36199,1.04628,0.16238,0.38191,0.09406,0.0339,2.2166,22.0947,1.21683,0.00113988,0.00113988,0.00113988
3,58.0429,2.19238,1.32894,1.04124,0.10487,0.32717,0.05533,0.0192,2.39634,inf,2.7574,0.00171925,0.00171925,0.00171925
4,85.7285,2.1604,1.31158,1.03441,0.04108,0.25469,0.02452,0.00968,2.4864,30.9755,1.15219,0.00199805,0.00199805,0.00199805
5,96.9396,2.15407,1.23633,1.01304,0.59197,0.36341,0.39603,0.16408,2.05988,1.42819,1.06046,0.00199653,0.00199653,0.00199653
6,135.475,2.08161,1.19723,0.9981,0.64408,0.43704,0.46889,0.18494,2.03827,1.23445,1.05737,0.00199458,0.00199458,0.00199458
7,144.354,1.95489,1.08998,0.99357,0.66548,0.4701,0.51098,0.21916,1.93678,1.08404,1.02475,0.00199219,0.00199219,0.00199219
8,153.002,1.90057,1.06653,0.98037,0.72576,0.45337,0.51207,0.21984,1.90934,1.08494,1.0292,0.00198938,0.00198938,0.00198938
9,170.551,1.8745,1.02508,0.96576,0.67952,0.43462,0.47672,0.20626,1.94722,1.11897,1.03042,0.00198614,0.00198614,0.00198614
10,223.816,1.9808,1.11083,0.97039,0.69187,0.46224,0.50828,0.20463,1.95612,1.0679,1.02172,0.00198246,0.00198246,0.00198246
11,237.093,1.92819,1.06019,0.98183,0.74397,0.45514,0.52282,0.22186,1.9559,1.04803,1.03029,0.00197837,0.00197837,0.00197837
12,258.788,1.87548,1.03576,0.96255,0.74397,0.46148,0.52359,0.20997,1.92398,1.06676,1.00669,0.00197384,0.00197384,0.00197384
13,267.401,1.84275,1.00467,0.96145,0.7244,0.47493,0.5335,0.23295,1.8762,1.01672,1.00439,0.0019689,0.0019689,0.0019689
14,282.805,1.83038,0.97656,0.95562,0.76902,0.47841,0.54911,0.24227,1.86105,0.98158,0.99846,0.00196353,0.00196353,0.00196353
15,291.818,1.87168,0.99837,0.96456,0.71706,0.48632,0.54912,0.23587,1.89919,1.00053,1.00904,0.00195775,0.00195775,0.00195775
16,300.497,1.81034,0.96394,0.95452,0.71946,0.49924,0.55633,0.25531,1.79884,0.98387,0.99016,0.00195155,0.00195155,0.00195155
17,309.183,1.85605,0.98855,0.94985,0.74251,0.47575,0.54499,0.22936,1.87404,0.99151,0.99269,0.00194493,0.00194493,0.00194493
18,348.444,1.86577,0.98112,0.94485,0.74196,0.4891,0.55102,0.24647,1.86317,0.95723,1.00976,0.00193791,0.00193791,0.00193791
19,359.592,1.83574,0.9775,0.94407,0.74985,0.49376,0.55258,0.24162,1.86609,0.95648,1.00098,0.00193048,0.00193048,0.00193048
20,369.688,1.78816,0.9546,0.94315,0.76385,0.49184,0.56795,0.25781,1.82414,0.95112,0.98934,0.00192264,0.00192264,0.00192264
21,381.421,1.80106,0.97346,0.94878,0.75973,0.49841,0.5627,0.25207,1.85773,0.9835,1.00289,0.00191441,0.00191441,0.00191441
22,404.629,1.78439,0.95076,0.94603,0.75561,0.50152,0.56788,0.24824,1.82461,0.95852,0.98867,0.00190578,0.00190578,0.00190578
23,430.949,1.75093,0.90557,0.93859,0.74562,0.50289,0.56484,0.24683,1.81714,0.9611,0.98641,0.00189675,0.00189675,0.00189675
24,452.838,1.77832,0.93356,0.93465,0.73964,0.49113,0.56574,0.2549,1.81954,0.96583,0.98776,0.00188734,0.00188734,0.00188734
25,479.872,1.74227,0.90889,0.93324,0.76551,0.50735,0.58093,0.26247,1.83003,0.92979,0.99369,0.00187754,0.00187754,0.00187754
26,488.507,1.73921,0.89376,0.92405,0.78849,0.51299,0.59384,0.27897,1.77298,0.91335,0.98659,0.00186737,0.00186737,0.00186737
27,497.351,1.69938,0.88846,0.93866,0.76845,0.50716,0.59101,0.27692,1.75118,0.91377,0.98342,0.00185681,0.00185681,0.00185681
28,507.581,1.67903,0.85582,0.92582,0.77562,0.50458,0.5738,0.25803,1.814,0.93323,0.98789,0.00184588,0.00184588,0.00184588
29,539.306,1.70104,0.88355,0.92298,0.73503,0.50659,0.56455,0.24701,1.82294,0.9926,0.99178,0.00183459,0.00183459,0.00183459
30,556.448,1.71165,0.87903,0.91557,0.74848,0.4929,0.56655,0.25258,1.789,0.92478,0.97885,0.00182294,0.00182294,0.00182294
31,567.19,1.72837,0.89146,0.93098,0.76028,0.50475,0.57619,0.25874,1.79698,0.91151,0.99018,0.00181093,0.00181093,0.00181093
32,575.822,1.6973,0.87092,0.93089,0.77018,0.51465,0.59299,0.27692,1.75812,0.88928,0.9808,0.00179856,0.00179856,0.00179856
33,631.761,1.68954,0.87359,0.92542,0.7671,0.52418,0.59877,0.27898,1.74267,0.91018,0.97787,0.00178586,0.00178586,0.00178586
